source,snapshot_path,url,params,sha256,bytes,http_status,retrieved_at
us_fa,data/raw/us_fa/data-raw_2025-02-03_zip_metadata_20260603T162521Z.txt,https://www.dropbox.com/scl/fi/btzeaaq84wdpahb7c033g/data-raw_2025-02-03.zip?rlkey=atqpr633ayy4ya9p428vi6lon&dl=1,complete; all countries; snapshot 2025-02-03,e3ce9d150da40ba1878fba2aef7a6ae43c0ff8f5db6c5d4016e69891c1041443,216,200,2026-06-03T16:25:21Z
us_fa,data/raw/us_fa/nepal_filtered_20260603T162531Z.csv,https://foreignassistance.gov/data,country=Nepal(NPL); from data-raw_2025-02-03.zip,3343d4f4aa24e0d1cee7b34f3e1da722c6bef889615d7bf579d3ffec128f7f9b,37936139,200,2026-06-03T16:25:31Z
us_fa,data/raw/us_fa/data-raw_2025-02-03_zip_metadata_20260603T162639Z.txt,https://www.dropbox.com/scl/fi/btzeaaq84wdpahb7c033g/data-raw_2025-02-03.zip?rlkey=atqpr633ayy4ya9p428vi6lon&dl=1,complete; all countries; snapshot 2025-02-03,e3ce9d150da40ba1878fba2aef7a6ae43c0ff8f5db6c5d4016e69891c1041443,216,200,2026-06-03T16:26:39Z
us_fa,data/raw/us_fa/nepal_filtered_20260603T162649Z.csv,https://foreignassistance.gov/data,country=Nepal(NPL); from data-raw_2025-02-03.zip,3343d4f4aa24e0d1cee7b34f3e1da722c6bef889615d7bf579d3ffec128f7f9b,37936139,200,2026-06-03T16:26:49Z
