source,snapshot_path,url,params,sha256,bytes,http_status,retrieved_at
usaspending,data/raw/usaspending/top_recipients_NPL_20260611T215030Z.json,https://api.usaspending.gov/api/v2/search/spending_by_category/recipient,"{""filters"": {""place_of_performance_locations"": [{""country"": ""NPL""}], ""time_period"": [{""start_date"": ""2014-10-01"", ""end_date"": ""2026-09-30""}], ""award_type_codes"": [""A"", ""B"", ""C"", ""D"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""09"", ""10"", ""11""]}, ""limit"": 24, ""page"": 1}",527b93ef30fffcff080e5cc80bde28492dcdbc977fdc0ccc116444b5254f58e8,4841,200,2026-06-11T21:50:30Z
usaspending,data/raw/usaspending/top_awards_assistance_NPL_20260611T215030Z.json,https://api.usaspending.gov/api/v2/search/spending_by_award,"{""filters"": {""place_of_performance_locations"": [{""country"": ""NPL""}], ""time_period"": [{""start_date"": ""2014-10-01"", ""end_date"": ""2026-09-30""}], ""award_type_codes"": [""02"", ""03"", ""04"", ""05""]}, ""fields"": [""Award ID"", ""Recipient Name"", ""Award Amount"", ""Description"", ""Start Date"", ""End Date"", ""Awarding Sub",31c56e8068deba663249b87011bad25136d12cd07ec9f1e04cd0ff6bbe587507,6793,200,2026-06-11T21:50:30Z
usaspending,data/raw/usaspending/top_awards_contracts_NPL_20260611T215030Z.json,https://api.usaspending.gov/api/v2/search/spending_by_award,"{""filters"": {""place_of_performance_locations"": [{""country"": ""NPL""}], ""time_period"": [{""start_date"": ""2014-10-01"", ""end_date"": ""2026-09-30""}], ""award_type_codes"": [""A"", ""B"", ""C"", ""D""]}, ""fields"": [""Award ID"", ""Recipient Name"", ""Award Amount"", ""Description"", ""Start Date"", ""End Date"", ""Awarding Sub Age",3d932adc947df70c988f63da18aede1f0dd8aaca1915a593ca99e74489c65e0b,8582,200,2026-06-11T21:50:30Z
