source,sector,year,flow_stage,amount_usd
adb_iati,22020,2018,disbursement,38969.63
adb_iati,22020,2019,disbursement,1385399.67
adb_iati,22040,2026,commitment,40000000.0
adb_iati,23111,2015,disbursement,94743.23
adb_iati,23111,2016,disbursement,155765.93
adb_iati,23183,2023,commitment,4000000.0
adb_iati,23220,2015,disbursement,1731341.8399999999
adb_iati,23220,2016,disbursement,3184078.75
adb_iati,23220,2017,disbursement,5133076.0600000005
adb_iati,23220,2018,disbursement,7251509.04
adb_iati,23220,2019,commitment,30000000.0
adb_iati,23220,2019,disbursement,8154707.0
adb_iati,23220,2020,disbursement,6947150.48
adb_iati,23220,2021,disbursement,12524210.17
adb_iati,23220,2022,disbursement,9631233.74
adb_iati,23220,2023,disbursement,17710254.71
adb_iati,23220,2024,disbursement,27674004.08
adb_iati,23220,2025,disbursement,18798637.46
adb_iati,23220,2026,disbursement,5236314.63
adb_iati,23630,2015,disbursement,17933516.29
adb_iati,23630,2016,disbursement,22493659.14
adb_iati,23630,2017,commitment,170000000.0
adb_iati,23630,2017,disbursement,39624714.96
adb_iati,23630,2018,commitment,20000000.0
adb_iati,23630,2018,disbursement,28140578.66
adb_iati,23630,2019,disbursement,45980897.71
adb_iati,23630,2020,commitment,356000000.0
adb_iati,23630,2020,disbursement,49413201.51
adb_iati,23630,2021,commitment,60000000.0
adb_iati,23630,2021,disbursement,46250749.48
adb_iati,23630,2022,disbursement,47753047.35
adb_iati,23630,2023,disbursement,78154016.21000001
adb_iati,23630,2024,commitment,373600000.0
adb_iati,23630,2024,disbursement,79708816.84
adb_iati,23630,2025,disbursement,60561890.48
adb_iati,23630,2026,disbursement,20600595.83
adb_iati,24010,2015,disbursement,27612366.2
adb_iati,24030,2015,disbursement,193029.76
adb_iati,24030,2016,disbursement,174355.97
adb_iati,24030,2019,disbursement,432217.48
adb_iati,24030,2020,disbursement,-36023.47
adb_iati,24040,2019,commitment,50000000.0
adb_iati,24040,2020,disbursement,5000000.0
adb_iati,24040,2021,disbursement,7000000.0
adb_iati,24040,2022,disbursement,5000000.0
adb_iati,24040,2023,commitment,21300000.0
adb_iati,24040,2023,disbursement,18000000.0
adb_iati,24040,2024,disbursement,5000000.0
adb_iati,24040,2025,disbursement,5000000.0
adb_iati,31110,2019,commitment,50000000.0
adb_iati,31110,2019,disbursement,25000000.0
adb_iati,31110,2022,disbursement,25000000.0
adb_iati,31110,2024,commitment,185000000.0
adb_iati,31110,2025,disbursement,104466427.0
adb_iati,31110,2026,disbursement,1085525.8099999998
adb_iati,31130,2024,commitment,31250000.0
adb_iati,31130,2026,disbursement,164472.91
adb_iati,31140,2015,disbursement,5343259.07
adb_iati,31140,2016,disbursement,5837154.23
adb_iati,31140,2017,disbursement,1004266.78
adb_iati,31140,2019,disbursement,814277.06
adb_iati,31140,2020,disbursement,1028525.06
adb_iati,31161,2024,commitment,125000000.0
adb_iati,31161,2025,disbursement,1450000.0
adb_iati,31161,2026,disbursement,1124014.69
adb_iati,31191,2018,commitment,100000000.0
adb_iati,31191,2018,disbursement,13435782.66
adb_iati,31191,2019,disbursement,20232587.45
adb_iati,31191,2020,disbursement,11701144.97
adb_iati,31191,2021,disbursement,14557179.19
adb_iati,31191,2022,disbursement,13946570.09
adb_iati,31191,2023,commitment,100000000.0
adb_iati,31191,2023,disbursement,5160789.27
adb_iati,31191,2024,disbursement,6700570.640000001
adb_iati,31191,2025,disbursement,11406134.35
adb_iati,31191,2026,disbursement,3164652.44
adb_iati,32110,2017,commitment,21000000.0
adb_iati,32110,2017,disbursement,10000000.0
adb_iati,32110,2019,disbursement,11258703.04
adb_iati,32110,2023,commitment,50000000.0
adb_iati,32161,2015,disbursement,5496897.87
adb_iati,32161,2016,disbursement,7259837.14
adb_iati,32161,2017,disbursement,1291140.48
adb_iati,32161,2019,disbursement,-10595.559999999998
adb_iati,32161,2020,disbursement,22869.61
adb_iati,32161,2022,commitment,79000000.0
adb_iati,32161,2023,disbursement,131323.12
adb_iati,32161,2024,disbursement,2637625.09
adb_iati,32161,2025,disbursement,1872620.9
adb_iati,32161,2026,disbursement,241504.37
adb_iati,43032,2024,commitment,185000000.0
adb_iati,43032,2026,disbursement,2980908.62
adb_iati,43060,2015,disbursement,7282438.99
adb_iati,43060,2016,disbursement,10383597.94
adb_iati,43060,2017,commitment,150000000.0
adb_iati,43060,2017,disbursement,25937164.55
adb_iati,43060,2018,disbursement,30101190.32
adb_iati,43060,2019,commitment,63000000.0
