usg_category,usg_sector,year,flow_stage,amount_usd,amount_usd_constant,source,source_url,retrieved_at
"Democracy, Human Rights, and Governance",Civil Society,2001,commitment,-95.0,-160.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2001,disbursement,2911230.0,4895894.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2002,commitment,-9820.0,-16260.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2002,disbursement,1204897.0,1994921.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2003,commitment,-3120.0,-5069.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2003,disbursement,682321.0,1108427.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2004,commitment,-59438.0,-94255.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2004,disbursement,7207.0,11428.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2005,commitment,25000.0,38474.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2005,disbursement,25000.0,38474.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2006,commitment,135000.0,201221.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2006,disbursement,135000.0,201221.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2007,commitment,1159289.0,1681656.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2007,disbursement,638828.0,926679.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2008,commitment,671443.0,954180.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2008,disbursement,1091397.0,1550971.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2009,commitment,1468115.0,2065202.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2009,disbursement,1639530.0,2306331.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2010,commitment,2774812.0,3869822.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2010,disbursement,445672.0,621547.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2011,commitment,1826041.0,2496538.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2011,disbursement,2620418.0,3582598.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2012,commitment,492228.0,660972.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2012,disbursement,2047292.0,2749140.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2013,commitment,230363.0,303823.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2013,disbursement,230363.0,303823.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2014,commitment,106571.0,138037.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2014,disbursement,106571.0,138037.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2015,commitment,1110632.0,1423809.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2015,disbursement,265748.0,340685.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2016,commitment,4299860.0,5468614.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2016,disbursement,911285.0,1158983.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2017,commitment,2180410.0,2727039.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2017,disbursement,3931690.0,4917365.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2018,commitment,3032947.0,3710925.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2018,disbursement,3591961.0,4394900.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2019,commitment,3379000.0,4060060.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2019,disbursement,3216943.0,3865336.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2020,commitment,4652266.0,5518388.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2020,disbursement,3513350.0,4167435.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2021,commitment,1992968.0,2285746.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2021,disbursement,2717409.0,3116612.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2022,commitment,3696500.0,3959587.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2022,disbursement,3861031.0,4135828.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2023,commitment,-443513.0,-454376.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2023,disbursement,1250691.0,1281325.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2024,commitment,3117064.0,3117064.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2024,disbursement,962191.0,962191.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Civil Society,2025,disbursement,2120519.0,2070686.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General",2025,disbursement,31614.0,30871.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2001,commitment,39731.0,66817.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2001,disbursement,7957.0,13382.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2002,commitment,1608002.0,2662332.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2002,disbursement,243591.0,403306.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2003,commitment,2342786.0,3805849.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2003,disbursement,1670602.0,2713888.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2004,commitment,3287947.0,5213940.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2004,disbursement,2433489.0,3858962.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2005,commitment,10757776.0,16555617.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2005,disbursement,6144026.0,9455316.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2006,commitment,7508912.0,11192233.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2006,disbursement,8110210.0,12088469.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2007,commitment,3723352.0,5401076.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2007,disbursement,7722774.0,11202585.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2008,commitment,1922347.0,2731828.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2008,disbursement,3708190.0,5269665.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2009,commitment,809740.0,1139065.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2009,disbursement,1952739.0,2746926.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2010,commitment,738593.0,1030063.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2010,disbursement,673.0,937.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2011,commitment,895849.0,1224792.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2011,disbursement,741317.0,1013518.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2012,commitment,292.0,393.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2012,disbursement,900292.0,1208929.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2013,commitment,3445813.0,4544637.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2013,disbursement,1620214.0,2136876.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2014,commitment,743038.0,962425.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2014,disbursement,2611346.0,3382364.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2015,commitment,8216813.0,10533793.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2015,disbursement,2097371.0,2688787.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2016,commitment,5691472.0,7238482.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2016,disbursement,6922438.0,8804043.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2017,commitment,7804730.0,9761376.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2017,disbursement,6673839.0,8346970.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2018,commitment,3404105.0,4165049.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2018,disbursement,7445238.0,9109528.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2019,commitment,7501866.0,9013915.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2019,disbursement,2882292.0,3463239.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2020,commitment,2721827.0,3228555.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2020,disbursement,4221927.0,5007931.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2021,commitment,1734217.0,1988982.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2021,disbursement,3514472.0,4030767.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2022,commitment,9627597.0,10312808.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2022,disbursement,5237554.0,5610322.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2023,commitment,3014832.0,3088671.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2023,disbursement,3908564.0,4004292.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2024,commitment,4891619.0,4891619.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2024,disbursement,7701733.0,7701733.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2025,commitment,6274923.0,6127457.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2025,disbursement,3350414.0,3271674.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2026,commitment,99366.0,95057.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Good Governance,2026,disbursement,140235.0,134154.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2007,commitment,3824951.0,5548442.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2008,commitment,977435.0,1389022.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2008,disbursement,3989079.0,5668834.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2009,commitment,2447019.0,3442230.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2009,disbursement,798845.0,1123737.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2010,commitment,3440902.0,4798770.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2010,disbursement,2256681.0,3147224.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2011,commitment,3488994.0,4770098.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2011,disbursement,3171870.0,4336530.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2012,commitment,261046.0,350536.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2012,disbursement,2537016.0,3406749.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2013,commitment,9017558.0,11893134.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2013,disbursement,4374993.0,5770118.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2014,commitment,-27099.0,-35100.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2014,disbursement,4587922.0,5942534.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2015,commitment,7887424.0,10111523.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2015,disbursement,4330222.0,5551260.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2016,commitment,202636.0,257715.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2016,disbursement,4265237.0,5424577.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2017,commitment,4797364.0,6000063.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2017,disbursement,3572347.0,4467932.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2018,commitment,2906900.0,3556702.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2018,disbursement,2057305.0,2517188.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2019,commitment,4760647.0,5720186.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2019,disbursement,4622584.0,5554299.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2020,commitment,3746364.0,4443833.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2020,disbursement,2655643.0,3150051.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2021,commitment,1726187.0,1979774.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2021,disbursement,3202188.0,3672610.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2022,commitment,3464325.0,3710888.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2022,disbursement,4386496.0,4698687.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2023,commitment,2700000.0,2766129.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2023,disbursement,2371937.0,2430031.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2024,commitment,1222268.0,1222268.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2024,disbursement,1226894.0,1226894.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2025,commitment,-750000.0,-732374.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2025,disbursement,1074683.0,1049426.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2001,commitment,6000.0,10090.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2001,disbursement,6000.0,10090.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2004,commitment,150000.0,237866.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2006,commitment,1049468.0,1564259.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2006,disbursement,302334.0,450636.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2007,commitment,114931.0,166718.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2007,disbursement,58018.0,84161.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2008,commitment,3963865.0,5633002.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2008,disbursement,1290092.0,1833336.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2009,commitment,7886138.0,11093453.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2009,disbursement,3744453.0,5267331.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2010,commitment,1586002.0,2211880.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2010,disbursement,808063.0,1126944.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2011,commitment,2626368.0,3590730.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2011,disbursement,2325136.0,3178885.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2012,commitment,-37906.0,-50901.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2012,disbursement,995524.0,1336808.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2013,commitment,6154832.0,8117523.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2013,disbursement,3521752.0,4644789.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2014,commitment,4167610.0,5398124.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2014,disbursement,2256594.0,2922869.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2015,commitment,3450773.0,4423822.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2015,disbursement,2921387.0,3745161.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2016,commitment,188678.0,239963.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2016,disbursement,3587105.0,4562124.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2017,commitment,5139170.0,6427559.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2017,disbursement,4535010.0,5671937.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2018,commitment,3568304.0,4365954.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2018,disbursement,1804004.0,2207267.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2019,commitment,8441807.0,10143308.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2019,disbursement,3908316.0,4696062.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2020,commitment,5643640.0,6694328.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2020,disbursement,7166194.0,8500343.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2021,commitment,7150836.0,8201329.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2021,disbursement,5886005.0,6750688.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2022,commitment,2600201.0,2785262.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2022,disbursement,4515833.0,4837240.0,us_fa_deep,https://foreignassistance.gov/cd/nepal,2026-06-21
