DATAFLOW,DONOR: Donor,RECIPIENT: Recipient,MEASURE: Measure,UNIT_MEASURE: Unit of measure,PRICE_BASE: Price base,TIME_PERIOD: Time period,OBS_VALUE,BASE_PER: Base period,UNIT_MULT: Unit multiplier,FLOW_TYPE: Flow type,OBS_STATUS: Observation status
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1605: MetLife Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2016,0.319185,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1617: Conrad N. Hilton Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2015,0.644437,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1612: H&M Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2015,0.105343,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1613: Laudes Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2015,0.259729,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1605: MetLife Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2015,0.443051,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1614: Charity Projects Ltd (Comic Relief),NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2015,0.695159,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1650: Good Ventures Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2024,2.0883,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1630: World Diabetes Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2024,1.007837,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1628: Wellcome Trust,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2024,0.326167,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1629: UBS Optimus Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2024,1.523777,2024,6: Millions,D: Disbursements,A: Normal value
